node_id,coordinate_x,coordinate_y
1337,7.55,7.0
1340,7.59,7.0
1339,7.59,7.0
1345,7.645,7.0
1347,7.69,7.0
1349,7.73,7.0
1389,10.545,7.0
1390,10.595,7.0
1391,10.595,7.0
1396,10.61,7.0
1398,10.75,7.0
1401,10.755,7.0
1400,10.755,7.0
1406,10.77,7.0
1408,10.81,7.0
1444,13.14,7.0
1445,13.15,7.0
1446,13.15,7.0
1449,13.155,7.0
1451,13.28,7.0
2017,1.635,1.0
2018,1.635,1.0
2020,1.715,1.0
2021,1.755,1.0
2022,1.77,2.0
2023,1.89,1.0
2024,1.89,1.0
2027,1.89,2.0
2028,1.89,2.0
2030,2.13,1.0
2029,2.13,1.0
2035,2.148,1.0
2034,2.13,2.0
2033,2.13,2.0
2036,2.148,2.0
2037,2.245,2.0
2038,2.265,1.0
2039,2.28,1.0
2040,2.28,1.0
2042,2.286,1.0
2043,2.405,1.0
2044,2.463,1.0
2046,2.54,1.0
2045,2.54,1.0
2048,2.56,1.0
2049,2.56,1.0
2051,2.571,1.0
2052,2.596,1.0
2054,2.685,1.0
2053,2.685,1.0
2056,2.715,1.0
2057,2.715,1.0
2059,2.945,1.0
2061,2.995,1.0
2060,2.995,1.0
2063,3.165,1.0
2064,3.165,1.0
2066,3.205,1.0
2067,3.212,1.0
2068,3.322,1.0
2070,3.325,1.0
2069,3.325,1.0
2072,3.343,1.0
2073,3.41,1.0
2074,3.41,1.0
2076,3.47,1.0
2077,3.58,1.0
2078,3.66,1.0
2079,3.9,1.0
2081,4.115,1.0
2080,4.115,1.0
2083,4.155,1.0
2084,4.225,1.0
2085,4.3,1.0
2086,4.305,1.0
2088,4.31,1.0
2090,4.335,1.0
2091,4.335,1.0
2094,4.345,1.0
2096,4.495,1.0
2098,4.525,1.0
2101,4.535,1.0
2100,4.535,1.0
2105,4.57,1.0
2089,4.325,2.0
2092,4.335,2.0
2093,4.335,2.0
2095,4.345,2.0
2097,4.495,2.0
2099,4.525,2.0
2103,4.535,2.0
2102,4.535,2.0
2104,4.555,2.0
2106,4.575,1.0
2108,4.715,1.0
2109,4.715,1.0
2111,4.76,1.0
2112,4.805,1.0
2113,4.905,1.0
2114,5.02,1.0
2115,5.165,1.0
2116,5.245,1.0
2117,5.5,1.0
2119,5.69,1.0
2118,5.69,1.0
2121,5.745,1.0
2122,5.845,1.0
2123,5.845,1.0
2125,5.855,1.0
2126,5.885,1.0
2127,5.99,1.0
2129,6.025,1.0
2128,6.025,1.0
2131,6.145,1.0
2132,6.145,1.0
2134,6.22,1.0
2135,6.405,1.0
2137,6.57,1.0
2136,6.57,1.0
2139,6.775,1.0
2141,6.835,1.0
2143,6.86,1.0
2144,6.86,1.0
2146,6.9,1.0
2149,7.04,1.0
2150,7.04,1.0
2152,7.15,1.0
2154,7.17,1.0
2158,7.235,1.0
2157,7.235,1.0
2159,7.26,1.0
2161,7.27,1.0
2162,7.365,1.0
2163,7.365,1.0
2142,6.86,0.0
2145,6.9,0.0
2147,7.04,0.0
2148,7.04,0.0
2151,7.15,0.0
2153,7.17,0.0
2156,7.235,0.0
2155,7.235,0.0
2165,7.38,1.0
2166,7.47,1.0
2167,7.71,1.0
2168,7.825,1.0
2169,7.965,1.0
2170,8.085,1.0
2171,8.16,1.0
2172,8.21,1.0
2173,8.26,1.0
2174,8.29,1.0
2175,8.455,1.0
2176,8.51,1.0
2177,8.595,1.0
2179,8.615,1.0
2178,8.615,1.0
2182,8.715,1.0
2181,8.715,1.0
2184,8.75,1.0
2185,8.86,1.0
2186,8.925,1.0
2187,8.945,1.0
2189,9.005,1.0
2190,9.005,1.0
2195,9.025,1.0
2197,9.13,1.0
2188,8.985,2.0
2193,9.005,2.0
2194,9.005,2.0
2196,9.025,2.0
2198,9.13,2.0
